# 科目|考点|补充必背（用^^分条）|易混易错|理解速记；复习优先级不代表考试命题频率，例子为辅助理解。
科目二|评价目的与偏差|评价应统一比较期间、费用、分红口径和基准，并分析规模、风格、市场环境与风险暴露。^^幸存者偏差来自只保留仍存续基金而排除清盘等失败样本，可能高估历史平均业绩；样本选择也会改变结论。|短期冠军不能证明长期能力，绝对盈利不等于跑赢基准；选择性展示漂亮时段会误导评价。|评价先问“和谁比、比多久、是否同风险、是否含费用和失败样本”，再看排名。
科目二|绝对收益与加权方法|持有期收益考虑期末价值、期初价值及期间收入；时间加权将外部现金流切分子期，再将(1+r)相乘减1；资金加权为现金流IRR。^^算术平均为收益率求和除期数；几何平均＝累计增长因子的n次方根减1，反映复合增长。|上涨50%再下跌50%并非回本，累计为-25%；基金分红后净值下降不能直接记成投资损失。|时间加权较好剔除投资者申赎时点影响，资金加权反映资金进出体验；计算题先识别题目问哪一种。
科目二|相对收益与捕获率|算术超额收益为基金收益减基准，几何相对收益为增长因子相除减1；两者数值通常不同。^^上行捕获率在基准上涨子期评价跟涨能力，下行捕获率在下跌子期评价抗跌表现，聚合及年化按题目约定。|上行120%是相对基准上行表现比例，不是基金绝对赚120%；下行60%通常指跌幅为基准60%，不是亏损60%。|例：基准涨10%、基金涨12%，上行比例120%；基准跌10%、基金跌6%，下行比例60%。
科目二|风险调整收益|夏普分母σ为总风险，特雷诺分母β为系统风险，信息比率分母为跟踪误差且分子减基准；索提诺＝(收益-最低可接受收益)/下行标准差。^^本讲义卡玛＝(区间收益-区间无风险收益)/区间最大回撤；各公式分子分母应统一期间，风险或回撤为零时不可直接相除。|不要把所有分子都写成减无风险收益；负超额收益、负β等情形不宜机械用“数值越大越好”排名。夏普与特雷诺并非数值必然相等。|例：收益12%、无风险2%、σ20%、β1、基准8%、跟踪误差5%，夏普0.5、特雷诺0.1、信息比率0.8。
科目二|选股与择时能力|选股通过选择低估证券获得收益，择时通过调整市场敏感度或资产配置捕捉走势；风险管理是重要基础能力。^^詹森α＝Rp-[Rf+β(Rm-Rf)]；T-M模型以市场超额收益平方项刻画择时，H-M模型区分涨跌市场敏感度。|α是相对CAPM要求收益的超额部分，不是单纯Rp-Rm；一次α为正不足以证明可持续能力或统计显著性。|例：Rp12%、Rf2%、Rm10%、β1，α2%；若β1.5，CAPM要求14%，相同12%收益的α变为-2%。
科目二|业绩归因|BHB配置贡献Σ(wp-wb)rb，选择贡献Σwb(rp-rb)，交互贡献Σ(wp-wb)(rp-rb)，三者合计解释算术超额收益。^^BF配置以分类基准收益减整体基准收益；债券归因关注利息、利率、信用等因素，Campisi适用于债券组合。|权重差乘分类基准收益看配置，收益差乘基准权重看选择；不能把基金权重与基准权重随意替换。|基准股债70/30、基金85/15，分类基准11%/2.5%，配置贡献15%×11%-15%×2.5%=1.275个百分点。
科目二|基金风格分析|持仓型分析从实际证券行业、市值、估值等识别风格；收益型分析用历史收益与风格指数的关系推断暴露。^^产品合同确定允许范围，经理决策形成实际风格；持续偏离原定位可能构成风格漂移并改变投资者承担风险。|持仓只是一时快照，历史收益反映的是过去；基金名称或最近一次涨幅不能完整代表风格。|把“合同约定—实际持仓—收益表现”三者对照，寻找是否一致以及漂移原因。
科目二|管理人综合评价|综合看治理结构、股权稳定、投研团队、投资流程、风险与合规、运营系统、信息披露和客户服务。^^人员更迭、关键人物依赖、产品规模与策略容量、长期业绩一致性都影响持续管理能力。|明星经理一只产品的短期好成绩不能代表整个管理人；规模大也不必然意味着每种策略都更有效。|以“组织能否复制能力、制度能否约束风险、服务能否持续”评价平台，而非只追逐单一排名。
科目二|基金评价业务体系|评价原则为长期、公正、全面、客观、一致、公开；先按同类风险和策略分类，再测收益、风险及风险调整结果。^^评价方法、数据口径、期间和结果解释应一致透明，防范利益冲突和选择性展示，不把评级当作未来保证。|基金评价、基金销售和投资建议不是同一种业务；评级最高不等于适合每位投资者，也不等于下一期仍领先。|评价流程记“分类→指标→风险调整→解释”，与个人选择时的目标期限和风险能力再结合。
科目二|GIPS与收益口径|全球投资业绩标准追求业绩展示真实、完整、可比，强调规范业绩计算与披露；总收益包含收入与资本利得。^^时间加权以子期收益几何连接，按规定扣交易费用，采用权责发生制与交易日会计；具体遵循适用组合和披露要求。|符合业绩标准不意味着获得保本或业绩认证；时间加权不是简单算术平均，交易费用不能从成本中遗漏。|记“总收益、时间加权、几何连接、扣交易费、权责和交易日”，先核对口径再比较业绩。
科目二|募集、合同生效与认购|募集期购买为认购，达到条件后验资备案、确认合同生效；募集失败按规定退款并计息，债务费用由管理人固有财产承担。^^采用外扣法：净认购金额＝认购金额/(1+费率)，认购费＝总额-净额，认购份额＝(净额+有效利息)/面值。|外扣费用不是直接用总认购金额×费率；募集利息不是认购费，认购面值也不同于成立后申购净值。|例：认购10100元、费率1%、无利息、面值1元，净额10000元、费用100元、份额10000份。
科目二|不同产品认购|普通开放式、封闭式、ETF、QDII和基础设施基金认购渠道、对价、份额安排不同；ETF可依规则现金或证券认购。^^QDII份额可使用人民币、美元或其他主要外汇货币计价；基础设施基金还有战略配售、网下发售等安排。|不要把普通开放式认购公式不加调整地套到证券认购；计价货币不等于底层资产全部使用同一货币。|先圈产品类型，再找“认购金额还是份额、现金还是证券、币种及利息”，最后计算。
科目二|交易、申赎与巨额赎回|一般开放式基金金额申购、份额赎回、未知价；申购外扣净额＝总额/(1+申购费率)，份额＝净额/申请日净值；赎回净额＝份额×净值×(1-赎回费率)。^^一般净赎回超过上一开放日总份额10%为巨额赎回；净额应考虑申购及适用转换流入流出，按规则全额或部分延期办理。|“超过10%”不能写成“达到10%”；申请日要结合业务截止时间、交易日及合同规则确定，不按自然日随意取净值。|题目先算净赎回再除上一开放日总份额；赎回费以赎回总金额为基础，不是以买入成本为基础。
科目二|转换、非交易过户及特殊申赎|基金转换一般涉及转出赎回费及适用的申购费差额；非交易过户包括继承、司法执行等导致份额权属变化。^^ETF、LOF、货币和QDII基金在对价、申报、确认与结算上有各自规则，须核对具体品种与市场。|转换不等于免费交易，非交易过户也不是普通市场买卖；同为场内基金不意味着都可同日买卖或同日赎回。|判断先分“买卖交易、申赎、转换、非交易过户”四种业务，再查相应费用、时点和权属变化。
科目二|私募资管计划参与退出|非公开向合格投资者募集，按合同约定开放期参与退出；初始募集规模一般不低于1000万元。^^集合计划初始募集期一般不超过60天，专投未上市企业股权的可按规则至12个月；份额转让也需审查受让方适格性。|封闭期不能想当然随时赎回；转让给他人不是绕开合格投资者要求的渠道，参与计划与买公募流程不同。|先看合同“开放何时、退出如何、转让条件”，再辨认募集期、存续期和清算期。
科目二|私募证券基金募集备案|履行特定对象确认、风险匹配、风险揭示、合格资格审查和签约等程序；完成募集后按规定申请备案。^^募集材料应真实、准确、完整，申赎转让遵守合同与规则，不能用份额拆分、代持或拼单降低实际投资门槛。|管理人已登记不等于该基金已备案；允许投资者主动咨询也不等于允许在公共渠道向不特定对象推介私募。|把“机构登记”和“产品备案”写在不同阶段；看题目是否在对象、金额或宣传方式上规避边界。
科目二|份额登记与资金结算|登记机构办理基金账户、份额登记、交易确认、权益记录及相关过户；申赎结算处理对应资金收付。^^管理人计算申赎价格和净值，托管人复核；登记数据、资金流水和基金账务需核对一致。|提交申请不等于已确认份额，确认也不等于现金已经到账；登记机构不是决定投资组合或保证收益的主体。|时间链“申请→确认→份额登记→资金结算”，具体日期随业务规则，不把每个动作都当作T日完成。
科目二|场内交易结算|清算计算应收应付证券与资金，交收完成实际划转；中国结算负责相关登记结算，交易所负责组织交易。^^分级结算按结算参与人与客户等层级办理；共同对手方介入双方，货银对付让证券交付与资金支付互为条件，净额结算降低交收量。|成交、清算和交收不是同一时点；净额结算不等于免去全部违约风险，交易所也不是所有证券资产的托管人。|记“清算算账、交收交货付款”；先画投资者、券商、登记结算机构的层级再辨责任。
科目二|费用与除权除息|交易成本包括佣金、过户费、经手费、监管费及适用税费，计算需核对收费主体、方向、基数和题设期间。^^简化除权参考价＝(前收盘价-每股现金红利+配股价×配股比例)/(1+送转比例+配股比例)，适用时按题设条款处理。|除权参考价不是保证实际成交价；费用已包含与另计的项目不能重复相加，股数调整后不能只比每股价格。|例：前价12、每股派1、每股送1且无配股，理论除权除息价(12-1)/2=5.5，总权益须加现金红利再比较。
科目二|银行间交易制度与结算|做市商提供双边报价，结算代理为符合条件客户办理相关结算服务，公开市场一级交易商参与央行公开市场操作。^^中央结算公司、上海清算所按各自业务范围提供托管清算结算服务；现券、质押回购、买断回购、远期、借贷有不同流程。|做市商、结算代理、一级交易商是不同业务身份；银行间交易不能直接套用交易所集中竞价与结算规则。|按“报价成交、代理办理、央行对手方”区分三种制度，再看证券和现金通过哪个系统交收。
科目二|期货期权与港股通|结算准备金是未被合约占用的保证金，交易保证金已被合约占用；期货每日结算盈亏并按规定追加或释放资金。^^中金所实行会员及分级结算，交易会员与结算会员权限不同；港股通经境内证券公司与交易服务公司向联交所申报，港币报价、人民币交收。|交易会员不当然具备直接与中金所结算资格；人民币交收不表示没有港币汇率风险，交易日与交收日须分别判断。|记“准备金待用、交易保证金占用；港股看港币报价、人民币交收”，按市场分别梳理交易结算制度。
科目二|海外交易与QDII结算|境外投资要考虑当地交易日、时区、货币、交收周期和托管链，境内管理人可依法委托境外顾问，托管人可安排境外托管。^^委托境外机构不免除境内管理人与托管人的法定责任，应选择、监督受托方并管理跨境操作与对手方风险。|海外市场的交易和结算周期不必等同境内；多一层托管并不意味着全部风险自动转移或资金可即时回流。|沿“境内投资者→境内管理托管→境外服务方→当地市场”逐段核对责任、时点和币种。
科目二|资产净值与估值责任|总资产包括现金及各类投资资产，负债包括应付费用、税费、融资等；资产净值＝总资产-总负债，份额净值再除总份额。^^管理人是估值第一责任人，计算后交托管人复核，委托外部估值服务机构仍须保留自身审查与责任。|总资产不是净资产，份额净值不是基金资产规模；已计提未支付费用仍是负债，不能遗漏。|例：资产160万元、负债8万元、份额100万份，资产净值152万元、份额净值1.52元。
科目二|估值方法及差错|活跃市场可取得相同资产报价时优先用报价；采用估值技术优先使用可观察输入，只有无法取得或不切实可行时才使用不可观察输入。^^讲义计价错误达到0.25%需及时报告，达到0.5%需公告；侧袋把特定资产分离清算，暂停估值和差错处理依规则与合同执行。|0.25%报告不等于0.5%公告；估值技术变更、计价错误、货基影子定价偏离是不同事项，不能只因数字相同混用规则。|估值先问“有无可靠市场价”，再选技术；遇阈值题先写事项名称再写比例和后续动作。
科目二|费用承担与计提|投资者交易费用包括认购、申购、赎回等；基金财产列支管理费、托管费、销售服务费等适用运营费用。^^基础管理、托管、销售服务费通常以前一日基金资产净值为基数逐日计提、按月支付；日费用＝前日净值×年费率/当年实际天数。|使用前日而非当日净值；逐日计提不等于每日实际付款，365天不能套闰年，百分比需转换小数。|例：前日净值1亿元、年费率0.365%、365天，每日计提1000元；应付未付的计提费用仍降低净值。
科目二|基金会计特点|每只基金作为独立会计主体独立建账，以人民币为记账本位币，按权责发生制、适用会计准则及估值规则核算。^^会计年度通常为公历1月1日至12月31日，证券交易、费用、收益、份额变动分别入账；管理人主要负责、托管人复核。|管理公司利润与基金利润不是同一本账；认购申购资金增加基金净资产，但不因此直接计为投资经营利润。|会计按“资产负债、收入费用、份额变动”分开，避免把持有人出资当作基金赚到的钱。
科目二|基金财务报告分析|主要报表为资产负债表、利润表、净值变动表，分析持仓结构、份额变化、持有人结构、利润及收益分配能力。^^净值规模变化可能来自投资损益或申赎，两者经济含义不同；持有人集中会影响赎回和流动性管理。|基金规模变大不必然是收益好，可能只是新申购；企业存货周转率等不宜机械套用于基金。|先拆“收益推动还是资金流推动”，再看资产配置变化、费用负担及持有人集中度。
科目二|利润构成与分配|本期利润＝已实现收益＋未实现收益；已实现收益＝本期利润-公允价值变动损益；期末可供分配利润取未分配利润与其中已实现部分孰低。^^普通开放式可现金分红或红利再投资；封闭式采用现金分红，分配后净值下降，现金分红一般不改变持有份额数量。|分红不是额外凭空创造收益；正的公允价值变动不自动全可分配，可供分配利润不能直接等于本期利润。|例：每份净值1.2、派现0.1，理论除息净值1.1，持有人合计仍1.2；再投资则用分红换成新增份额。
科目二|货币基金收益权益|普通货基当日申购从下一交易日起享收益，当日赎回从下一交易日起不享收益；周五普通申购通常不享周五及周末收益。^^周五普通赎回通常仍享周五、周六、周日收益；遇节假日应顺延到下一交易日，并辨认具体品种的特殊规则。|下一交易日不是下一自然日；场内特殊货基、快速赎回安排不能未经辨认直接套普通货基规则。|画“确认前后权益归属”时间线：节前最后开放日买入通常要等节后，节前赎回通常仍覆盖假期。
科目二|基金与投资者税收|先区分基金自身投资与投资者持有基金两层，再区分个人与机构、证券交易与基金份额交易、价差与分红收入。^^税费计算应明确纳税人、税目、税基、税率、买卖方向及适用期间；历史题按题设所采用的口径处理。|股票交易印花税规则不能直接套到基金申赎；“基金相关收入全部免税”或“所有投资者同税率”都过于绝对。|用六栏“谁缴、什么行为、哪种税、按什么金额、什么税率、何时规则”，比孤立背一个税率更可靠。
科目二|披露作用、原则与禁止行为|披露帮助价值判断、风险防范、提升市场效率；内容要求真实、准确、完整、及时，表达应便于理解和取得。^^禁止虚假记载、误导性陈述、重大遗漏，禁止违规预测收益、承诺收益、诋毁其他机构和选择性披露。|不说假话但遗漏重大风险仍可能违规；历史业绩真实也不能配以暗示未来保本的表达。|看材料时同时查“有无假、有无漏、是否迟、是否误导”，不能只核对一个收益数字。
科目二|管理人与托管人义务|管理人编制并披露净值、招募说明书、定期和临时报告等；托管人复核相关净值、申赎价格和报告并出具意见。^^管理人或托管人自身发生规定重大事件时应各自履行披露义务，不能仅等待另一方披露。|托管人复核不免除管理人责任；管理人完成披露也不意味着托管人无须披露自身重大事项。|记“管理人编制、托管人复核；各自重大事项各自负责”，与估值计算责任保持对应。
科目二|募集披露文件|基金合同规定当事人权利义务与运作框架；托管协议细化管理托管职责；招募说明书详述产品、运作、费用和风险。^^产品资料概要以简明信息辅助理解产品，投资者应结合完整文件判断，注册通过只说明履行相应程序。|招募说明书不是收益保证书，产品资料概要不是替代全部合同条款；管理人与托管人的协议也不是持有人所有权利的唯一依据。|文件定位口诀“合同定权责、托管定分工、招募讲全貌、概要供速览”。
科目二|净值、偏离度与定期报告|季度报告于季度结束后15个工作日内，中期报告于上半年结束后2个月内，年度报告于年末后3个月内披露；年度报告信息量大并需审计。^^普通基金关注资产净值、份额净值、累计净值；货基关注每万份收益、7日年化及影子定价偏离，正负偏离阈值与处置要求不同。|7日年化不是未来一年承诺收益，累计净值不是复利再投资收益率；货基偏离度与普通基金净值计价错误不能混用。|期限记“季15工作日、中2月、年3月”；读货基数字时先分“当天每万份收益”与“近期收益年化”。
科目二|临时、澄清与清算公告|可能影响持有人权益或份额价格的重大事件须按规定临时披露，如大会决议、终止、管理托管人变更、重大诉讼及达到阈值的净值错误。^^市场传闻可能产生误导时依法澄清；基金终止后形成清算报告并按规定披露，不以最后一期定期报告代替全部清算信息。|定期报告不能代替应及时披露的重大事项；澄清不是任意发布主观业绩预测，清算也不等于无须继续披露。|三类公告分别回答“出了什么大事、传闻是否属实、终止后资产怎样处理”。
科目二|特殊基金披露|QDII补充境外投资顾问、境外托管与国别汇率风险；ETF披露申购赎回清单等与交易机制有关的资料。^^基础设施基金重点披露项目运营、原始权益人、经营现金流及有关风险，帮助投资者理解底层项目表现。|特殊披露是在通用要求上增加针对性内容，不是可免除普通披露；基金名称创新不能掩盖重要底层风险。|按产品特性找增量：“跨境看海外，ETF看申赎，REITs看项目运营”，让披露和风险一一对应。
科目二|私募基金披露|依法律、自律规则和基金合同向投资者披露投资运作、资产负债、收益分配、费用及可能影响权益的重要事项。^^向协会等报送与向投资者披露有不同对象和目的；信息应真实准确完整，保密要求与合法披露并行。|私募非公开不等于可以不向投资者披露；也不能为宣传而把适用私募资料向不特定公众公开推介。|把“给投资者看、向自律组织报、向公众宣传”分开，先明确接收对象再判断是否合法充分。
科目二|投资者分类与需求|个人与机构按主体性质分，专业与普通按适当性保护分类，合格投资者按特定产品准入要求判断。^^投资目标包括收益与风险，投资限制涉及流动性、期限、税收、法律法规和特殊需求；长期目标还须考虑通胀与实际购买力。|机构不当然属于所有产品的专业或合格投资者；收益目标高不代表风险承受能力高，短期用款限制也不能忽略。|先列目标，再列“五限制：流动性、期限、税、法、特殊”，把愿望与现实财务条件分开。
科目二|风险能力、意愿与适当性|承担能力取决于资产收入、负债、期限、流动性需求和损失吸收空间；意愿体现主观态度，两者需分别评估。^^投资者C1-C5与产品R1-R5分级后进行适当性匹配，结合经验和目标，保留测评、告知及销售记录。|敢冒险不等于扛得住损失；签署承诺不能让销售机构免责，主动要求高风险产品也不能跳过适用告知和程序。|案例：退休者口头愿赌高收益，但近期需医疗资金，能力可能偏低；先分析现金流和期限再看主观偏好。
科目二|销售渠道与策略|直销由管理人直接服务，代销包括银行、证券、保险、独立销售等合规渠道，各有客户、网点、专业和服务优势。^^营销4P为产品、价格、渠道、促销；递减赎回费通过费用结构引导长期持有，策略需符合产品特点及投资者需求。|营销促销不等于承诺收益或排名；渠道广不代表产品适合所有客户，低费率也不是唯一选择标准。|4P逐项问“卖什么、收多少、在哪卖、怎样沟通”，每一项都受真实宣传与适当性约束。
科目二|销售业务规范|明示身份、介绍产品、充分揭示风险，按规定办理申赎并保护投资者资金与信息，持续记录关键销售过程。^^不得预测未来业绩或承诺保本收益，不得私下接受客户资金、擅自代客操作、泄露交易信息或误导风险测评。|客户授权不能使违法行为合法；从业人员个人账户不是合法销售收款渠道，风险揭示不能被高收益宣传抵销。|案例检查“身份真、话术真、钱走正规渠道、测评不诱导、信息不外泄”五条。
科目二|服务与投资者教育|售前帮助了解产品和需求，售中提供交易指导与风险提示，售后提供信息、账户查询、投诉处理及持续沟通。^^投资者教育包括投资决策、资产配置和权益保护，引导理解长期投资、分散风险、费用与合法维权途径。|投教不是推销特定高收益产品，售后服务不是保证不亏；处理投诉不能擅自隐瞒事实或泄露其他客户资料。|用“买前懂、买时明、买后有回应”记服务全过程；投教既教怎么选，也教如何识别风险和维护权利。
